文件,用途,宽(px),高(px),大小(KB)
assets/images/artworks/bacchus-ariadne.webp,名画/艺术,1400,900,472
assets/images/artworks/birth-venus.webp,名画/艺术,1400,900,623
assets/images/artworks/caravaggio-medusa.webp,名画/艺术,1400,900,321
assets/images/artworks/europa.webp,名画/艺术,1400,900,517
assets/images/artworks/judgement-paris.webp,名画/艺术,1400,900,375
assets/images/artworks/perseus-andromeda.webp,名画/艺术,1400,900,113
assets/images/hero_hd.webp,首页主视觉,1800,700,425
assets/images/people/achilles.webp,人物,900,1200,332
assets/images/people/aphrodite.webp,人物,900,1200,354
assets/images/people/ariadne.webp,人物,900,1200,506
assets/images/people/athena.webp,人物,900,1200,334
assets/images/people/dionysus.webp,人物,900,1200,189
assets/images/people/hera.webp,人物,900,1200,146
assets/images/people/heracles.webp,人物,900,1200,295
assets/images/people/jason.webp,人物,900,1200,197
assets/images/people/medea.webp,人物,900,1200,185
assets/images/people/medusa.webp,人物,900,1200,364
assets/images/people/odysseus.webp,人物,900,1200,328
assets/images/people/oedipus.webp,人物,900,1200,288
assets/images/people/paris.webp,人物,900,1200,168
assets/images/people/perseus.webp,人物,900,1200,112
assets/images/people/polyphemus.webp,人物,900,1200,253
assets/images/people/poseidon.webp,人物,900,1200,119
assets/images/people/theseus.webp,人物,900,1200,315
assets/images/people/zeus.webp,人物,900,1200,199
assets/images/stories/aphrodite-birth.webp,故事,1280,720,256
assets/images/stories/argonauts.webp,故事,1280,720,323
assets/images/stories/ariadne.webp,故事,1280,720,320
assets/images/stories/athens-contest.webp,故事,1280,720,201
assets/images/stories/europa.webp,故事,1280,720,370
assets/images/stories/heracles.webp,故事,1280,720,201
assets/images/stories/odyssey.webp,故事,1280,720,252
assets/images/stories/oedipus.webp,故事,1280,720,244
assets/images/stories/perseus.webp,故事,1280,720,236
assets/images/stories/prometheus.webp,故事,1280,720,279
assets/images/stories/theseus.webp,故事,1280,720,267
assets/images/stories/trojan-war.webp,故事,1280,720,321
